/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/lifetime_tracker.luau	166	module_export		local relations = {}		local relations = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/lifetime_tracker.luau	216	module_export		return world		return world
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/lifetime_tracker.luau	219	module_export	return lifetime_tracker_add	return lifetime_tracker_add
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/queries/spatial_grids.luau	57	module_export	local map = {}	local map = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_recv.luau	39	module_export		return e		return e
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	13	module_export	    local storages = {} :: { [jecs.Entity]: {[jecs.Entity]: any }}	    local storages = {} :: { [jecs.Entity]: {[jecs.Entity]: any }}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	14	module_export	    local networked_components = {}	    local networked_components = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	15	module_export	    local networked_pairs = {}	    local networked_pairs = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	120	module_export						local set_values = {}						local set_values = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	163	module_export			local snapshot = {} :: ty.snapshot			local snapshot = {} :: ty.snapshot
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	165	module_export			local set_ids = {}			local set_ids = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	166	module_export			local removed_ids = {}			local removed_ids = {}
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	169	module_export			    local set_values = {} :: { any }			    local set_values = {} :: { any }
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/networking_send.luau	226	module_export	return networking_send	return networking_send
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/remotes.luau	19	module_export		return remote		return remote
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/examples/networking/remotes.luau	29	module_export		return remote		return remote
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Input/module.luau	159	module_export			return clone			return clone
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/modules/Input/module.luau	161	module_export			return value			return value
